행정구역별(시도),연도,내국인,국적가진 외국인,국적 없는 외국인,중국,중국(한국계),대만,일본,몽골,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,스리랑카,파키스탄,방글라데시,네팔,우즈베키스탄,카자흐스탄,러시아,미국,캐나다,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간·강제추행등,방화,상해,폭행,체포・감금,협박,약취・유인,폭력행위등,공갈,손괴
서울특별시,2016,9470339,"404,037","335,167","60,560","177,339","6,436","5,918","6,774","10,010","3,901","4,096",981,997,653,330,"1,194",695,"1,016","2,549","1,460","1,623","21,956","5,672",46,100,260,1129,123,4667,72,286,6949,39337,268,3036,35,2615,694,11667
부산광역시,2016,3394316,"59,872","46,168","10,426","4,409","1,123",857,456,"8,374","2,283","2,037","2,747","1,251","1,054",934,544,324,733,"1,586",248,789,"2,118",614,29,43,137,314,28,951,30,98,4637,9749,77,1031,20,1052,416,3462
대구광역시,2016,2841151,"40,251","30,492","5,165","3,566",576,377,340,"5,041","1,879","1,523","1,902",929,394,"1,059","1,004",558,681,"1,350",218,271,"1,610",345,17,12,51,197,37,632,14,68,2863,7457,47,600,8,534,192,2856
인천광역시,2016,2430510,"94,670","71,873","10,272","22,383","1,919",717,"1,762","6,285","3,250","4,745","2,179","1,302","1,765",854,"1,047","1,182","1,189","2,691",738,584,"2,104",608,20,28,88,347,47,1176,27,84,2289,11762,132,870,10,899,255,3664
광주광역시,2016,1515758,"31,162","23,701","5,240","2,440",249,330,358,"3,494","1,133","1,486",761,"1,080",326,490,318,151,425,"1,911",420,259,729,158,9,8,47,170,21,488,15,38,1309,4797,43,400,8,389,114,1550
대전광역시,2016,1477856,"26,656","19,687","6,196","2,210",339,343,458,"2,483",716,736,355,298,95,141,233,212,187,392,247,197,"1,524",344,16,9,35,171,14,420,15,44,1415,5121,30,528,4,418,130,1537
울산광역시,2016,1137241,"35,929","28,792","3,183","11,154",183,212,498,"3,630","1,575","1,024",775,856,376,"1,201",230,133,403,823,184,131,471,130,7,15,33,112,16,293,9,38,1422,4026,28,461,3,268,95,1500
세종특별자치시,2016,237672,"6,084","4,835",705,981,27,45,75,609,171,390,203,205,126,99,45,40,116,240,87,29,198,85,1,1,3,10,1,40,-,2,162,377,3,45,2,42,30,161
경기도,2016,12199257,"571,384","472,699","50,385","199,552","1,928","3,885","8,596","29,709","19,294","35,945","9,606","16,636","9,312","7,187","3,759","8,132","12,365","14,545","2,611","2,399","13,708","3,812",84,157,185,1144,129,3644,85,325,9187,41888,289,4175,49,3212,759,14679
강원도,2016,1502387,"28,469","19,364","2,920","1,991",389,551,592,"3,409",919,"1,555",784,"1,133",571,237,64,234,"1,039",405,146,146,935,247,7,11,22,150,19,264,6,39,2047,4290,20,407,7,323,64,1890
충청북도,2016,1558503,"56,660","44,901","6,071","11,033",401,439,"1,154","5,152","2,126","4,047","1,309","1,721",687,"1,598",302,487,"1,879","2,900",306,328,650,216,4,15,19,128,21,314,7,39,1272,3773,33,374,1,253,66,1625
충청남도,2016,2055033,"95,553","77,533","9,558","21,842",434,"1,194","1,105","8,676","2,832","7,042","2,949","4,422","1,149","1,531",221,498,"3,425","4,066",942,486,"1,209",276,11,23,39,173,11,468,14,71,1927,3568,41,501,6,459,118,1981
전라북도,2016,1801619,"45,836","31,549","6,036","3,626",339,640,"1,008","5,932","1,482","2,210","1,055","2,072",603,973,171,422,"1,250","1,056",97,103,841,178,8,18,38,129,18,332,16,37,1335,4381,44,395,5,451,66,1374
전라남도,2016,1759387,"53,066","36,630","4,843","4,154",146,773,659,"8,155","1,854","2,813","1,785","2,866",607,"2,707",98,238,"1,436","1,238",89,114,641,210,7,8,20,108,9,267,9,36,1212,3532,37,335,8,254,90,1164
경상북도,2016,2621463,"78,339","60,706","7,294","7,531",319,600,943,"12,513","3,183","4,574","5,104","3,450","1,345","2,476",643,719,"2,136","2,660",583,318,"1,334",252,16,18,40,204,15,398,7,58,2689,4899,51,588,5,484,177,2521
경상남도,2016,3247448,"114,594","92,185","7,863","13,342",258,877,"1,032","17,355","4,570","7,063","7,787","4,675","2,027","4,150","1,261","1,003","3,581","7,161",698,639,"1,223",364,17,29,60,208,25,600,24,74,3882,7233,60,723,12,733,183,2982
제주특별자치도,2016,605856,"22,102","17,476","5,047","2,447",271,230,310,"2,279",640,939,"1,374",465,237,768,66,23,552,97,36,55,624,226,4,12,25,84,16,318,8,26,982,3112,18,360,4,211,59,1357
서울특별시,2017,9397944,"413,943","343,927","66,238","174,895","6,618","6,198","7,529","12,522","3,638","5,318","1,001","1,048",825,308,"1,304",649,"1,014","2,690","2,511","1,830","18,909","5,775",50,91,167,1155,144,5582,60,225,6016,36312,258,2923,49,2119,739,10985
부산광역시,2017,3368110,"64,145","48,808","10,915","4,347","1,131",911,533,"9,350","2,113","2,753","2,711","1,277","1,154",933,539,374,837,"1,653",430,"1,010","1,836",594,21,41,102,334,43,1282,23,90,4220,10174,68,1010,18,940,360,3707
대구광역시,2017,2846797,"42,506","31,365","5,352","3,552",572,406,371,"5,413","1,735","2,007","1,725",904,427,"1,000",967,515,615,"1,429",435,419,"1,404",287,16,30,37,201,26,610,8,71,2781,6885,65,688,8,441,177,2645
인천광역시,2017,2421676,"104,441","79,170","10,802","24,837","1,905",764,"2,140","6,679","2,980","5,052","1,947","1,191","1,956",870,"1,116","1,180","1,235","3,376","1,901","1,300","1,928",549,11,24,73,352,44,1282,13,81,2074,11586,210,928,15,773,368,3456
